Year,FIPS,Value,County,State,Quality
2011,45001,2.5,Abbeville, SC,Less than or equal MCL
2012,45001,2.5,Abbeville, SC,Less than or equal MCL
2013,45001,2.5,Abbeville, SC,Less than or equal MCL
2014,45001,2.5,Abbeville, SC,Less than or equal MCL
2015,45001,2.5,Abbeville, SC,Less than or equal MCL
2012,19001,0.5,Adair, IA,Non Detect
2013,19001,4.05,Adair, IA,Less than or equal MCL
2011,21001,1.0,Adair, KY,Non Detect
2012,21001,0.25,Adair, KY,Non Detect
2013,21001,0.25,Adair, KY,Non Detect
2014,21001,1.0,Adair, KY,Non Detect
2015,21001,1.0,Adair, KY,Non Detect
2011,29001,0.0,Adair, MO,Non Detect
2012,29001,0.0,Adair, MO,Non Detect
2013,29001,0.0,Adair, MO,Non Detect
2014,29001,0.0,Adair, MO,Non Detect
2015,29001,0.0,Adair, MO,Non Detect
2011,08001,1.15,Adams, CO,Less than or equal MCL
2012,08001,1.6168421052631579,Adams, CO,Less than or equal MCL
2013,08001,0.8058333333333333,Adams, CO,Non Detect
2014,08001,1.130952380952381,Adams, CO,Less than or equal MCL
2015,08001,0.9333333333333333,Adams, CO,Non Detect
2013,19003,1.0,Adams, IA,Non Detect
2011,42001,0.7666666666666666,Adams, PA,Non Detect
2012,42001,1.8024324324324335,Adams, PA,Less than or equal MCL
2013,42001,2.0,Adams, PA,Less than or equal MCL
2014,42001,0.7,Adams, PA,Non Detect
2015,42001,1.495945945945946,Adams, PA,Less than or equal MCL
2011,53001,2.132857142857143,Adams, WA,Less than or equal MCL
2012,53001,3.0,Adams, WA,Less than or equal MCL
2013,53001,2.35,Adams, WA,Less than or equal MCL
2014,53001,3.0,Adams, WA,Less than or equal MCL
2015,53001,4.333333333333333,Adams, WA,Less than or equal MCL
2011,55001,0.5,Adams, WI,Non Detect
2012,55001,0.3,Adams, WI,Non Detect
2014,55001,0.75,Adams, WI,Non Detect
2015,55001,0.61,Adams, WI,Non Detect
2011,50001,0.8,Addison, VT,Non Detect
2012,50001,0.5,Addison, VT,Non Detect
2013,50001,0.5,Addison, VT,Non Detect
2014,50001,0.5,Addison, VT,Non Detect
2015,50001,0.5,Addison, VT,Non Detect
2011,45003,2.5,Aiken, SC,Less than or equal MCL
2012,45003,2.5,Aiken, SC,Less than or equal MCL
